32
0	1668	1537	1816	1495	1867	2013	1928	1124	1871	1031	1333	1318	1446	1154	1201	1438	1551	1301	1302	1249	1074	1459	1041	1245	1483	1398	1794	1595	1336	1123	1655	
1668	0	1319	1072	1677	1331	1925	1295	1060	1929	1773	1420	1594	1254	1746	1493	1423	1591	1481	1843	1352	1376	1621	1723	1400	1933	1233	1585	1776	1554	1989	1348	
1537	1319	0	1338	1175	1640	1178	1799	2032	1649	1844	1247	2006	1458	1648	2046	1109	1643	1441	1550	1673	1959	1158	1907	1825	1939	1437	1167	1802	1962	1290	2043	
1816	1072	1338	0	1329	1326	1840	1110	1358	1140	1660	1526	1664	1325	1030	1131	1878	1687	1206	1027	1052	1342	2028	1705	1714	1654	1313	1128	1923	1602	2008	1354	
1495	1677	1175	1329	0	1244	1399	1132	1682	1456	2047	1166	1209	1865	1055	1462	1203	1559	1152	1672	1272	1792	1137	1127	1368	1801	1926	1168	1896	2003	1630	1364	
1867	1331	1640	1326	1244	0	1949	1511	1824	1772	1428	1944	1749	1078	1931	1538	1439	2044	1725	1599	1853	1848	1834	1807	1525	1875	1460	1835	1200	1182	1952	1936	
2013	1925	1178	1840	1399	1949	0	1555	1512	1679	1860	1033	1771	1464	1056	1079	1164	1790	1932	1440	1480	1082	1151	1298	1038	1097	2040	1347	1174	1653	1534	1287	
1928	1295	1799	1110	1132	1511	1555	0	1073	1226	1452	1324	1062	1322	1563	1675	1089	1547	1938	1945	1497	1527	1524	1855	1076	1393	1866	1503	1088	1170	2031	1292	
1124	1060	2032	1358	1682	1824	1512	1073	0	1518	1380	1113	1528	1236	1972	1394	1362	1976	2017	1803	1589	1165	2002	1422	1261	1118	1028	1385	1993	1271	1413	1268	
1871	1929	1649	1140	1456	1772	1679	1226	1518	0	1823	1084	1255	1916	1213	1382	1225	1190	1851	2037	1120	1650	1793	1311	1709	1419	1579	1549	1133	1901	1914	1778	
1031	1773	1844	1660	2047	1428	1860	1452	1380	1823	0	1902	1698	1882	2024	1181	1700	1558	1373	1691	1543	1327	1125	1940	1815	1918	1024	1917	1841	1365	1922	1770	
1333	1420	1247	1526	1166	1944	1033	1324	1113	1084	1902	0	1877	1626	2019	1064	1721	1241	1876	1768	1729	1156	1544	1032	1701	1192	1101	1951	1695	1470	1797	1622	
1318	1594	2006	1664	1209	1749	1771	1062	1528	1255	1698	1877	0	1069	1760	2012	1304	1804	1758	1148	1890	1571	1970	1477	1219	1044	1955	1434	1289	1582	1548	1905	
1446	1254	1458	1325	1865	1078	1464	1322	1236	1916	1882	1626	1069	0	1355	1496	1066	1954	1252	1819	1184	1984	1666	1478	1145	1230	1743	1498	1688	1453	1880	1294	
1154	1746	1648	1030	1055	1931	1056	1563	1972	1213	2024	2019	1760	1355	0	1443	1869	1274	1242	1522	1501	1903	1130	1411	1557	1077	1486	1911	1121	1716	1260	1282	
1201	1493	2046	1131	1462	1538	1079	1675	1394	1382	1181	1064	2012	1496	1443	0	2036	1162	1466	1586	1461	1217	1674	1752	1971	1669	1100	1306	1103	1787	1769	1227	
1438	1423	1109	1878	1203	1439	1164	1089	1362	1225	1700	1721	1304	1066	1869	2036	0	1850	1309	1829	1186	1756	1223	1810	1811	1696	1830	1262	1346	1833	1508	1808	
1551	1591	1643	1687	1559	2044	1790	1547	1976	1190	1558	1241	1804	1954	1274	1162	1850	0	1467	1386	1943	1722	1863	1523	2022	1424	1600	1305	1237	1659	1517	1144	
1301	1481	1441	1206	1152	1725	1932	1938	2017	1851	1373	1876	1758	1252	1242	1466	1309	1467	0	1670	1708	1974	1997	1314	1937	1724	1469	1136	1783	1471	1099	1638	
1302	1843	1550	1027	1672	1599	1440	1945	1803	2037	1691	1768	1148	1819	1522	1586	1829	1386	1670	0	1613	1767	1188	1950	1405	1998	1990	2030	1584	1117	2039	1977	
1249	1352	1673	1052	1272	1853	1480	1497	1589	1120	1543	1729	1890	1184	1501	1461	1186	1943	1708	1613	0	1053	1892	1096	1806	1207	2011	2033	1908	1039	1199	1859	
1074	1376	1959	1342	1792	1848	1082	1527	1165	1650	1327	1156	1571	1984	1903	1217	1756	1722	1974	1767	1053	0	1489	1407	1210	1561	1777	1535	1388	1332	1832	1025	
1459	1621	1158	2028	1137	1834	1151	1524	2002	1793	1125	1544	1970	1666	1130	1674	1223	1863	1997	1188	1892	1489	0	1065	1425	1822	1029	1036	1506	1465	1718	1782	
